Team,Server,Copper Per Hour
PNAS,1194,3000
ZMBY,1194,3000
B33,1194,2200
OPPA,1194,2200
EVGS,1196,2700
HPRO,1196,2700
MAAX,1196,2500
UFO,1196,3000
ATUM,1220,3100
UPER,1220,2600
AZI,1220,2500
SPAS,1220,2600
HOPE,1234,3200
RISE,1234,2800
FEU,1234,2600
OGM,1234,2600
MXP,1234,2200
E404,1237,3000
TNTX,1237,2800
EKOS,1237,2500
ROKK,1242,3200
WARS,1242,2700
MORT,1242,2400
BAKS,1242,2000
FYER,1247,3100
WRC,1247,2800
HAVK,1247,2600
ETRE,1252,3100
ETOA,1252,3100
ETRR,1252,2400
815k,1252,2300